Entity,Code,GDP,Life_expectancy,BCG,HepB3,Hib3,IPV1,MCV1,PCV3,Pol3,RCV1,RotaC,YFV,DTP3
Mozambique,MOZ,1228.8705,61.2,93,88,88,85,87,80,88,87,88,0,88
Myanmar,MMR,5153.375,66.6,91,90,90,90,84,90,90,84,0,0,90
Namibia,"NAM",9353.127,63.1,98,87,87,76,80,57,84,80,90,0,87
Nepal,NPL,3631.0178,69.6,96,93,93,80,92,83,92,92,0,0,93
Netherlands,NLD,55569.44,82,0,92,94,98,94,93,94,94,0,0,94
New Zealand,NZL,41522.477,82.6,0,92,91,94,92,91,92,92,86,0,92
Nicaragua,NIC,5024.2754,74.1,99,98,98,99,99,98,99,99,99,0,98
Niger,NER,1210.8782,62.9,70,81,81,81,79,81,81,0,81,83,81
Nigeria,NGA,4983.6753,52.9,72,56,56,55,57,52,54,0,0,60,56
North Macedonia,MKD,15779.604,77.3,93,92,92,98,75,0,92,75,0,0,92
Norway,NOR,73668.79,83,0,96,97,99,97,95,97,97,95,0,97
Oman,OMN,30723.287,78,99,99,99,99,99,99,99,99,0,0,99
Pakistan,PAK,5026.2085,66.8,93,84,84,84,81,83,84,0,86,0,84
Palestine,PSE,7386.203,75.2,99,99,99,99,99,99,99,99,99,0,99
Panama,PAN,29879.904,77.8,99,88,88,97,97,96,88,97,94,7,88
Paraguay,PRY,12319.808,73.6,87,86,86,88,87,89,84,87,86,92,86
Peru,PER,12236.712,76.2,94,88,88,91,85,80,87,85,90,57,88
Philippines,PHL,8448.533,71.9,70,71,71,71,75,53,78,75,0,0,71
Poland,POL,31985.158,77.9,92,91,95,99,93,60,87,93,0,0,95
Portugal,PRT,31796.8,81.7,0,98,99,99,99,98,99,99,0,0,99
Qatar,QAT,114100.81,81,99,98,98,99,99,98,99,99,98,0,98
Romania,ROU,27888.36,76.5,96,90,88,94,90,88,88,90,0,0,88
Russia,RUS,28526.293,73.9,96,97,0,97,98,85,96,98,0,0,97
Rwanda,RWA,2279.5068,66.4,98,98,98,99,96,98,98,96,98,0,98
Saint Kitts and Nevis,KNA,22938.94,71.6,99,97,97,97,97,0,97,97,0,0,97
Saint Lucia,LCA,14237.587,73.4,95,92,92,99,96,0,91,96,0,0,92
Saint Vincent and the Grenadines,VCT,11101.596,72.8,99,97,97,99,99,0,99,99,0,0,97
Sao Tome and Principe,STP,3784.7568,68.5,95,95,95,95,95,95,95,95,95,0,95
Saudi Arabia,SAU,51824.88,77.3,52,96,96,96,95,96,97,95,95,0,96
Senegal,SEN,3247.833,68.5,95,96,96,92,89,96,89,89,94,82,95
Serbia,SRB,17220.316,76.7,98,94,97,99,87,92,97,87,0,0,97
Seychelles,SYC,27783.162,74.2,98,99,99,99,99,92,99,99,99,0,99
Sierra Leone,SLE,1875.1897,60.3,86,95,95,86,93,94,95,0,92,90,95
Singapore,SGP,82336.34,83.8,98,96,96,98,95,82,96,95,0,0,96
Slovakia,SVK,27473.168,77.7,0,97,97,97,96,96,97,96,0,0,97
Slovenia,SVN,34093.465,81.6,0,0,95,98,94,65,95,94,0,0,95
South Africa,ZAF,12536.135,66.2,84,85,85,87,83,86,85,0,83,0,85
South Korea,KOR,42219.47,83.7,98,98,98,98,98,98,98,98,0,0,98
Spain,ESP,40366.4,83.5,0,95,96,98,98,94,95,98,0,0,95
Sri Lanka,LKA,13290.122,76,99,99,99,99,99,0,99,99,0,0,99
Sudan,SDN,4230.835,65.9,92,93,93,91,90,93,93,0,94,0,93
Suriname,SUR,14480.707,72.2,0,77,77,82,64,0,76,64,0,57,77
Sweden,SWE,52433.336,83.1,25,97,97,98,97,97,98,97,0,0,98
Switzerland,CHE,75298.82,83.8,0,69,95,97,95,84,96,95,0,0,96
Syria,SYR,7210.547,71.8,84,54,54,71,65,0,60,65,0,0,54
Tajikistan,TJK,3893.754,70.9,98,97,97,96,98,0,97,98,97,0,97
Tanzania,TZA,2358.761,67,91,89,89,89,88,83,89,88,85,0,89
Thailand,THA,17116.309,79,99,97,0,97,96,0,97,96,0,0,97
Togo,TGO,2235.2266,60.9,98,84,84,84,75,83,78,75,80,71,84
Trinidad and Tobago,TTO,28643.447,74.2,0,93,93,92,99,93,93,99,0,98,93
Tunisia,TUN,11090.384,76,91,98,98,98,98,0,98,98,0,0,98
Turkey,TUR,26947.576,77.8,96,99,99,96,97,97,99,97,0,0,99
Turkmenistan,TKM,26026.03,69,98,99,99,99,99,0,99,99,4,0,99
Uganda,UGA,2092.1492,63,88,93,93,88,87,92,92,0,87,0,93
Ukraine,UKR,13144.867,74.5,84,76,80,83,93,0,78,93,0,0,80
United Arab Emirates,ARE,66112.72,79.7,94,98,99,95,99,99,95,99,92,0,99
United Kingdom,GBR,44274.957,81.7,0,93,93,97,91,91,93,91,90,0,93
United States,USA,62589,79.1,0,91,91,97,90,92,93,90,74,0,94
Uruguay,URY,20545.422,77.5,99,94,94,99,96,95,93,96,0,0,94
Uzbekistan,UZB,12575.709,71.3,99,96,96,94,98,99,98,98,48,0,96
Venezuela,VEN,251.09236,72.2,91,64,64,55,93,0,62,93,0,80,64
Vietnam,VNM,7506.817,74.1,96,89,89,73,95,0,89,92,0,0,89
Yemen,YEM,1777.2511,65.1,69,73,73,68,67,72,67,67,73,0,73
Zambia,ZMB,3179.1958,62.8,95,88,88,73,93,89,89,93,90,0,88
Zimbabwe,ZWE,2787.659,61.3,95,90,90,65,85,90,90,85,92,0,90
